number	meaning	color	sti	type	cresp	onset	onset_real	resp_raw	resp	rt	cort
1	蓝	yellow	11.jpg	n	yellow	265.363422800001	265.427260199998			0	0
2	绿	green	13.jpg	y	green	268.363422800001	268.3971379			0	0
3	绿	green	13.jpg	y	green	271.363422800001	271.385184899991			0	0
4	绿	green	13.jpg	y	green	274.363422800001	274.386899900011			0	0
5	红	red	1.jpg	y	red	277.363422800001	277.403580899991			0	0
6	绿	green	13.jpg	y	green	280.363422800001	280.391590000014			0	0
7	黄	green	7.jpg	n	green	283.363422800001	283.391684900009			0	0
8	黄	green	7.jpg	n	green	286.363422800001	286.397802399995			0	0
9	黄	yellow	5.jpg	y	yellow	289.363422800001	289.397858100012			0	0
10	蓝	blue	9.jpg	y	blue	292.363422800001	292.410129299999			0	0
11	蓝	blue	9.jpg	y	blue	295.363422800001	295.398054099991			0	0
12	黄	yellow	5.jpg	y	yellow	298.363422800001	298.398172699992			0	0
13	蓝	blue	9.jpg	y	blue	301.363422800001	301.410372299986			0	0
14	黄	yellow	5.jpg	y	yellow	304.363422800001	304.392101100006			0	0
15	黄	blue	6.jpg	n	blue	307.363422800001	307.398293200007			0	0
16	蓝	blue	9.jpg	y	blue	310.363422800001	310.410681999987			0	0
17	黄	yellow	5.jpg	y	yellow	313.363422800001	313.404788299988			0	0
18	黄	yellow	5.jpg	y	yellow	316.363422800001	316.405355199997			0	0
19	蓝	red	10.jpg	n	red	319.363422800001	319.398860799993			0	0
20	绿	blue	14.jpg	n	blue	322.363422800001	322.392624200002			0	0
